timestamp,abertura,alta,baixa,fechamento,volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Superior,BB_Medio,BB_Inferior
2025-03-26 07:49:00,0.895665,0.895895,0.895665,0.895895,0,0.8955615,0.8957178,0.8955997231290911,0.895730759639559,63.33333333332939,-3.629447817854459e-05,-8.648142224698427e-05,5.0186944068439685e-05,0.8959420964848067,0.8955615,0.8951809035151933
2025-03-26 07:50:00,0.895875,0.895875,0.895715,0.895735,0,0.8955565,0.8957254,0.8956126066406063,0.8957309259282037,52.34899328858686,-2.16871581402156e-05,-7.352256942563054e-05,5.183541128541494e-05,0.8959243829906011,0.8955565,0.8951886170093989
2025-03-26 07:51:00,0.895725,0.895805,0.895695,0.895735,0,0.8955545,0.8957288,0.8956242631510247,0.8957310856957251,54.16666666666217,-9.995529527406788e-06,-6.0817161445985796e-05,5.082163191857901e-05,0.8959177876199014,0.8955545,0.8951912123800987
2025-03-26 07:52:00,0.895745,0.895825,0.895665,0.895745,0,0.8955500000000001,0.8957324,0.8956357618985462,0.8957316313547163,60.769230769230504,7.620832631616281e-08,-4.863848749152541e-05,4.871469581784157e-05,0.8959006685345015,0.8955500000000001,0.8951993314654987
2025-03-26 07:53:00,0.895785,0.895785,0.895605,0.895745,0,0.8955505,0.8957368000000001,0.8956461655272561,0.8957321556153157,65.83333333333118,7.966302561279726e-06,-3.7317529480964385e-05,4.528383204224411e-05,0.8959023058675716,0.8955505,0.8951986941324285
2025-03-26 07:54:00,0.895735,0.895865,0.895735,0.895805,0,0.895567,0.8957408,0.8956612926198984,0.8957350122578523,67.9999999999936,1.8843541035207245e-05,-2.608531537773006e-05,4.4928856412937306e-05,0.8959345008056344,0.895567,0.8951994991943656
2025-03-26 07:55:00,0.895805,0.895915,0.895685,0.895685,0,0.8955765,0.895742,0.8956635504656223,0.8957330509928386,59.68992248061648,1.7578203189594355e-05,-1.7352611664265176e-05,3.493081485385953e-05,0.8959459818563095,0.8955765,0.8952070181436905
2025-03-26 07:56:00,0.895695,0.895755,0.895565,0.895575,0,0.8955719999999999,0.8957418,0.895655117087944,0.895726852914688,60.156249999999254,7.611591450795707e-06,-1.2359771041252999e-05,1.9971362492048706e-05,0.8959391282581488,0.8955719999999999,0.895204871741851
2025-03-26 07:57:00,0.895575,0.895665,0.895475,0.895595,0,0.895571,0.8957418,0.895649391650997,0.8957216822121512,58.19672131147303,1.3116923228695399e-06,-9.625478368428491e-06,1.093717069129803e-05,0.8959377438515752,0.895571,0.8952042561484248
2025-03-26 07:58:00,0.895595,0.895605,0.895395,0.895415,0,0.8955685000000001,0.8957376,0.8956270686366162,0.8957096554587336,53.787878787877766,-1.7998048501999264e-05,-1.1299992395142647e-05,-6.698056106856617e-06,0.895938949229471,0.8955685000000001,0.8951980507705292
